month,interest
2004-01,0
2004-02,3
2004-03,4
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,5
2004-10,0
2004-11,0
2004-12,0
2005-01,5
2005-02,1
2005-03,0
2005-04,0
2005-05,2
2005-06,0
2005-07,2
2005-08,0
2005-09,0
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,2
2006-04,1
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,1
2010-09,2
2010-10,3
2010-11,4
2010-12,4
2011-01,8
2011-02,11
2011-03,17
2011-04,22
2011-05,25
2011-06,37
2011-07,47
2011-08,55
2011-09,59
2011-10,54
2011-11,54
2011-12,53
2012-01,60
2012-02,65
2012-03,70
2012-04,70
2012-05,84
2012-06,86
2012-07,87
2012-08,100
2012-09,82
2012-10,77
2012-11,76
2012-12,75
2013-01,81
2013-02,77
2013-03,81
2013-04,67
2013-05,73
2013-06,71
2013-07,72
2013-08,76
2013-09,61
2013-10,50
2013-11,54
2013-12,51
2014-01,55
2014-02,50
2014-03,50
2014-04,45
2014-05,47
2014-06,52
2014-07,52
2014-08,44
2014-09,35
2014-10,33
2014-11,36
2014-12,33
2015-01,38
2015-02,35
2015-03,33
2015-04,32
2015-05,34
2015-06,35
2015-07,34
2015-08,55
2015-09,52
2015-10,57
2015-11,60
2015-12,62
2016-01,65
2016-02,54
2016-03,47
2016-04,40
2016-05,38
2016-06,42
2016-07,38
2016-08,38
2016-09,28
2016-10,28
2016-11,28
2016-12,30
2017-01,34
2017-02,29
2017-03,29
2017-04,25
2017-05,24
2017-06,27
2017-07,27
2017-08,29
2017-09,23
2017-10,24
2017-11,24
2017-12,28
2018-01,31
2018-02,28
2018-03,29
2018-04,25
2018-05,25
2018-06,29
2018-07,29
2018-08,33
2018-09,25
2018-10,25
2018-11,28
2018-12,30
2019-01,32
2019-02,30
2019-03,32
2019-04,28
2019-05,31
2019-06,31
2019-07,34
2019-08,42
2019-09,30
2019-10,28
2019-11,28
2019-12,31
2020-01,31
2020-02,33
2020-03,35
2020-04,38
2020-05,42
2020-06,41
2020-07,38
2020-08,38
2020-09,27
2020-10,28
2020-11,30
2020-12,28
2021-01,32
2021-02,29
2021-03,33
2021-04,28
2021-05,30
2021-06,31
2021-07,30
2021-08,31
2021-09,26
2021-10,28
2021-11,27
2021-12,27
2022-01,37
2022-02,39
2022-03,38
2022-04,34
2022-05,35
2022-06,38
2022-07,42
2022-08,43
2022-09,28
2022-10,31
2022-11,30
2022-12,29
2023-01,34
2023-02,31
2023-03,31
2023-04,30
2023-05,27
2023-06,34
2023-07,32
2023-08,29
2023-09,21
2023-10,23
2023-11,24
2023-12,25
